project,test_name,label,loc,num_asserts,thread_sleep_count,has_thread_sleep,async_wait_count,has_async_wait,has_file_io,has_network_io,has_concurrency,num_test_methods,num_try_catch,has_setup_teardown,num_conditionals,has_random,has_system_time,num_annotations
activiti,org.activiti.engine.test.db.metadatatest.testmetadata,0,68,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
activiti,org.activiti.engine.test.json.jsontest.testdirectjsonpropertyaccess,0,206,50,0,0,0,0,0,0,0,0,0,0,3,0,0,4
activiti,org.activiti.engine.test.json.jsontest.testjsonarrayavailable,0,206,50,0,0,0,0,0,0,0,0,0,0,3,0,0,4
activiti,org.activiti.engine.test.json.jsontest.testjsonobjectavailable,0,206,50,0,0,0,0,0,0,0,0,0,0,3,0,0,4
activiti,org.activiti.spring.test.jpa.jpatest.testjpavariabledisapprovalpath,0,149,16,0,0,0,0,0,0,0,0,0,0,3,0,0,13
activiti,org.activiti.spring.test.jpa.jpatest.testjpavariablehappypath,0,149,16,0,0,0,0,0,0,0,0,0,0,3,0,0,13
ambari,org.apache.ambari.server.actionmanager.testactionmanager.testactionresponse,0,288,25,0,0,0,0,0,0,0,6,0,1,0,0,1,9
ambari,org.apache.ambari.server.actionmanager.testactionmanager.testlargelogs,0,288,25,0,0,0,0,0,0,0,6,0,1,0,0,1,9
ambari,org.apache.ambari.server.actionmanager.testactionscheduler.testactionschedule,0,2670,105,0,0,4,1,0,0,0,34,1,1,112,0,1,77
ambari,org.apache.ambari.server.actionmanager.testactionscheduler.testactiontimeout,0,2670,105,0,0,4,1,0,0,0,34,1,1,112,0,1,77
ambari,org.apache.ambari.server.actionmanager.testactionscheduler.testsuccesscriteria,0,2670,105,0,0,4,1,0,0,0,34,1,1,112,0,1,77
ambari,org.apache.ambari.server.actionmanager.testactionscheduler.testsuccessfactors,0,2670,105,0,0,4,1,0,0,0,34,1,1,112,0,1,77
ambari,org.apache.ambari.server.actionmanager.teststage.testtasktimeout,0,73,2,0,0,0,0,0,0,0,2,0,1,1,0,0,6
ambari,org.apache.ambari.server.agent.agenthostinfotest.testdeserializehostinfo,0,74,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ambari,org.apache.ambari.server.agent.testheartbeathandler.testcommandreport,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.testheartbeat,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.testinvalidosregistration,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.testregisternewnode,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.testregistration,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.testregistrationpublichostname,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.testrequestid,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.teststatecommandsatregistration,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.teststatusheartbeat,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.testtaskinprogresshandling,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeatmonitor.testheartbeatloss,0,552,33,3,1,0,0,0,0,1,6,0,1,17,0,1,12
ambari,org.apache.ambari.server.agent.testheartbeatmonitor.testheartbeatstatecommandsenqueueing,1,552,33,3,1,0,0,0,0,1,6,0,1,17,0,1,12
ambari,org.apache.ambari.server.agent.testheartbeatmonitor.teststatecommandsgeneration,0,552,33,3,1,0,0,0,0,1,6,0,1,17,0,1,12
ambari,org.apache.ambari.server.api.handlers.createhandlertest.testhandlerequest__asynchronous,0,254,16,0,0,0,0,0,0,0,4,0,1,9,0,0,6
ambari,org.apache.ambari.server.api.handlers.createhandlertest.testhandlerequest__synchronous,0,254,16,0,0,0,0,0,0,0,4,0,1,9,0,0,6
ambari,org.apache.ambari.server.api.handlers.deletehandlertest.testhandlerequest__asynchronous,0,222,14,0,0,0,0,0,0,0,4,0,1,6,0,0,6
ambari,org.apache.ambari.server.api.handlers.deletehandlertest.testhandlerequest__synchronous,0,222,14,0,0,0,0,0,0,0,4,0,1,6,0,0,6
ambari,org.apache.ambari.server.api.handlers.querycreatehandlertest.testhandlerequest,0,631,16,0,0,0,0,0,0,0,6,0,0,3,0,0,10
ambari,org.apache.ambari.server.api.handlers.readhandlertest.testhandlerrequest,0,298,15,0,0,0,0,0,0,0,8,0,0,0,0,0,8
ambari,org.apache.ambari.server.api.handlers.updatehandlertest.testhandlerequest__asynchronous,0,201,13,0,0,0,0,0,0,0,3,0,1,6,0,0,5
ambari,org.apache.ambari.server.api.handlers.updatehandlertest.testhandlerequest__synchronous,0,201,13,0,0,0,0,0,0,0,3,0,1,6,0,0,5
ambari,org.apache.ambari.server.api.query.queryimpltest.testaddproperty__localcategory,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.query.queryimpltest.testaddproperty__localcategorysubpropsonly,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.query.queryimpltest.testaddproperty__localproperty,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.query.queryimpltest.testaddproperty__localsubcategory,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.query.queryimpltest.testaddproperty__subproperty,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.query.queryimpltest.testexecute__collection_nonnullinternalpredicate_nonnulluserpredicate,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.query.queryimpltest.testexecute__collection_nullinternalpredicate_nonnulluserpredicate,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.query.queryimpltest.testexecute__collection_nullinternalpredicate_nulluserpredicate,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.query.queryimpltest.testexecute__component_collection_nospecifiedprops,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
